Name,Reviews,Stars,HelpfulStatements,Result,RR,q,,
Amit Dave,"Don't fall for the  negative reviews. This is best at the price. People following red mi phones but this has bigger advantage. I will write only advantages and cons and feedback Advantage-Amoled display.-Always on display (I compromised but it's there)-5000 Mah battery and runs 2 days.-Fast charging and 15W charger in the box.-Wide angle camera is awsum.-No heating no lagging.-Face unlock is very fast.-Mainly look is stunning.....-Very low radiation-Blue light filter-Lock screen story and stunning pics.Cons-Little slippery in hand but trust me a 99 Rs cover solved it straight away.-Online availability.(Now in stock)-No splash proof (as per the other reviews as I am not going to test this anyway?Feedbackfeedback-People say camera but I find it's too good.-People say speaker. One in the bottom is loud  and clear enough.-People compare with Mi but forget that China model with LCD display and 0.9 SAR value. M30 has SAR of 0.43After Using for 1 week-All well and amazing.-Working in Telcos with lost of calls phone still has 30% batt on second day. To add i have played game for 30 min and watched online movie for 3 hrs on Jio cinema along with hectic job schedule.
",5.0 out of 5 stars,"4,126 people found this helpful",pos,"Don't fall for the  negative reviews. This is best at the price. People following red mi phones but this has bigger advantage. I will write only advantages and cons and feedback Advantage-Amoled display.-Always on display (I compromised but it's there)-5000 Mah battery and runs 2 days.-Fast charging and 15W charger in the box.-Wide angle camera is awsum.-No heating no lagging.-Face unlock is very fast.-Mainly look is stunning.....-Very low radiation-Blue light filter-Lock screen story and stunning pics.Cons-Little slippery in hand but trust me a 99 Rs cover solved it straight away.-Online availability.(Now in stock)-No splash proof (as per the other reviews as I am not going to test this anyway?Feedbackfeedback-People say camera but I find it's too good.-People say speaker. One in the bottom is loud  and clear enough.-People compare with Mi but forget that China model with LCD display and 0.9 SAR value. M30 has SAR of 0.43After Using for 1 week-All well and amazing.-Working in Telcos with lost of calls phone still has 30% batt on second day. To add i have played game for 30 min and watched online movie for 3 hrs on Jio cinema along with hectic job schedule.
,pos",q,,
DINESH,"Last few months I am using this mobile performance wise not bad, if you download any file you can't find where it saved.Display -ok not full HD,Audio- LowSpeed - you can't play any online games it will be very slow. Earphone -not available.Cam-Good, Totally it is an average product, you can use for only calls and watching movies, Phone contains fiber body, we have to handle carefully.
",3.0 out of 5 stars,"2,163 people found this helpful",neut,"Last few months I am using this mobile performance wise not bad, if you download any file you can't find where it saved.Display -ok not full HD,Audio- LowSpeed - you can't play any online games it will be very slow. Earphone -not available.Cam-Good, Totally it is an average product, you can use for only calls and watching movies, Phone contains fiber body, we have to handle carefully.
,neut",q,,
Ritvik Rai,"I just picked up an amazing phone which is Samsung m30 and I'm so happy to make the right decision.Talking about this phone, this comes with great battery life and I can strem all my favourite songs and play games without worrying that it may go off. The camera is very good, captures great pics doesn't let me down. My friends take my phone and go on clicking selfies. I already have 400 plus photos in my gallery. The storage capacity is not a worry either, thanks to the 128gb varient.The display is really very good. Everything so bright and nice. It is not at all heavy and the gaming performance is great. I'm loving it! :)
",5.0 out of 5 stars,"1,501 people found this helpful",pos,"I just picked up an amazing phone which is Samsung m30 and I'm so happy to make the right decision.Talking about this phone, this comes with great battery life and I can strem all my favourite songs and play games without worrying that it may go off. The camera is very good, captures great pics doesn't let me down. My friends take my phone and go on clicking selfies. I already have 400 plus photos in my gallery. The storage capacity is not a worry either, thanks to the 128gb varient.The display is really very good. Everything so bright and nice. It is not at all heavy and the gaming performance is great. I'm loving it! :)
,pos",q,,
Jitendra,"No EarPhone In Box And Mobile Cover Of Samsung M30.Samsung Provide Earphones in 2k Mobiles, But Here It's Missing. I Want To Return Samsung M30, Revert If It's Possible Now?
",2.0 out of 5 stars,672 people found this helpful,neg,"No EarPhone In Box And Mobile Cover Of Samsung M30.Samsung Provide Earphones in 2k Mobiles, But Here It's Missing. I Want To Return Samsung M30, Revert If It's Possible Now?
,neg",q,,
devraj,"Phone is just fantastic but one problem in here.. does not work Google play or can't install or update any apps from Google play.. only just install from Samsung Galaxy app😓😓
",2.0 out of 5 stars,948 people found this helpful,neut,"Phone is just fantastic but one problem in here.. does not work Google play or can't install or update any apps from Google play.. only just install from Samsung Galaxy app😓😓
,neut",q,,
Aman Darji,"A Samsung's new launched M30 Smart phone is very cool because of the Infinity U AMOLED Fhd + Display is looking very nice. 13 MP ultra - wide dual camera & a triple camera setup capture which is clearly so cool with one of the best photography & great selfies. One of best part is that the battery lasts long since it has massive 5000 mAh battery & also 3x Fast Charge. Storage its also an important factor. It has 4GB RAM | 64GB internal memory expandable up to 512GB, it means you have sufficient space where you can downlod videos, movies, songs and data. Next is, it has Dual SIM slots and a dedicated slot for memory card.Samsung M30 hasExynos 7904 Processor1.8 GHz Octa Core Processor & 4GB RAM - multitask gaming, videos, etc.
",5.0 out of 5 stars,484 people found this helpful,pos,"A Samsung's new launched M30 Smart phone is very cool because of the Infinity U AMOLED Fhd + Display is looking very nice. 13 MP ultra - wide dual camera & a triple camera setup capture which is clearly so cool with one of the best photography & great selfies. One of best part is that the battery lasts long since it has massive 5000 mAh battery & also 3x Fast Charge. Storage its also an important factor. It has 4GB RAM | 64GB internal memory expandable up to 512GB, it means you have sufficient space where you can downlod videos, movies, songs and data. Next is, it has Dual SIM slots and a dedicated slot for memory card.Samsung M30 hasExynos 7904 Processor1.8 GHz Octa Core Processor & 4GB RAM - multitask gaming, videos, etc.
,pos",q,,
Aidan Dsilva,"Very good screen clarity, it looks very neat and appealing, Camera is very good, low light photography is excellent. Fingerprint sensor is fast and it has good speed which helps me switch between apps smoothly. Gaming on this phone is awesome and it doesn't lag while playing games like PUBG and NFS. The 5000mah battery helps me almost never run out of charge . The charger included with the phone charges my phone in a matter of minutes. The AMOLED display helps me see clearer images and lets me watch movies in high definition.The Dolby digital feature helps me listen to music in high quality sound with a beautiful infinity V cut display the phone looks better than anyone. I love it
",5.0 out of 5 stars,447 people found this helpful,pos,"Very good screen clarity, it looks very neat and appealing, Camera is very good, low light photography is excellent. Fingerprint sensor is fast and it has good speed which helps me switch between apps smoothly. Gaming on this phone is awesome and it doesn't lag while playing games like PUBG and NFS. The 5000mah battery helps me almost never run out of charge . The charger included with the phone charges my phone in a matter of minutes. The AMOLED display helps me see clearer images and lets me watch movies in high definition.The Dolby digital feature helps me listen to music in high quality sound with a beautiful infinity V cut display the phone looks better than anyone. I love it
,pos",q,,
Kiran B,"Liked-Battery backup (3days)Wide Camera featureSimple UI3 slots sim+mmcDisliked-SlipperyNO Pie updateonly single speaker at the bottom
",4.0 out of 5 stars,402 people found this helpful,pos,"Liked-Battery backup (3days)Wide Camera featureSimple UI3 slots sim+mmcDisliked-SlipperyNO Pie updateonly single speaker at the bottom
,pos",q,,
Aakash Kaushal ,"Bought it in the 1st sale. Using for 3rd day now and what i feel is ..Elegant  looks.Display quality is brilliant.Cameras are lovely. And charging speed is great thanks to inbox 15w charger. For a average regular user having not much  interest  of playing games I would definitely recommend  this. Moreover, design is literally premium and and finally Brand is Samsung 😀
",5.0 out of 5 stars,658 people found this helpful,pos,"Bought it in the 1st sale. Using for 3rd day now and what i feel is ..Elegant  looks.Display quality is brilliant.Cameras are lovely. And charging speed is great thanks to inbox 15w charger. For a average regular user having not much  interest  of playing games I would definitely recommend  this. Moreover, design is literally premium and and finally Brand is Samsung 😀
,pos",q,,
Bittu,"I was lucky enough to get this Amazing device in the very first sale on 7th March and that too my desirable variant ! 😊 The delivery was also fast. Thanks to Amazon ! 👍The phone is definitely a True Value For Money as it offers great specs along with great features with an attractive price tag. Let me organise my views about this amazing phone  as follows...LOOKS : 🔎📲👍The mobile is definitely an eye-catcher due to its Premium finish, Slim body, Bezel less screen and the Double shaded back panel (I got a Gradation Blue Variant for me !)The volume and power buttons are placed rightly and are easy to access.CAMERA : 📸 👍It has 16 MP + 3 MP + 3MP Triple camera which captures Amazing shots !With 7 different modes, you can choose the best one according to the scene being clicked. There's a button for Wide Angle which instantly widens the scene to be captured. I have attached the shots of the ceiling with and without Wide Angle Mode. Besides, the stickers and beauty modes work superb to get attractive selfie too.DISPLAY : 📱👍6.4 inch Super AMOLED display is brilliant and a small U shaped notch adds to the attraction of its infinity display... The touch and interface is super smooth too and the brightness level is very efficient. You don't need to set it to full brightness when you are outside even in the afternoon.MULTI TASKING : 📚👍With it's huge 6GB RAM and 128GB Storage, it's very easy to perform as many tasks as you want without any lag. The phone performs flawlessly without any lag or heating. You can activate Pop up window setting and it will make your Multi Tasking lot more easy and interesting too.BATTERY : 🔋🤔Battery sure is a huge one, i.e.5000mAh, but I didn't feel it sufficient enough to last for 24 hours even. Maybe, it's due to network issues or maybe I have to watch it again after some more charge cycles.Though, Fast charging from it's 15 watt charger (type C port) is indeed capable of charging the phone really fast.EXTRAS : 📝Besides all those stated above, I would like to add some more bullet points...👍🔹The Face recognition works great ! There's a lighting animation around the front camera while it tries to identity your face. Looks nice.🔹 Fingerprint sensor is quick and responsive. You can activate a setting after which you can scroll down the notification tray by sliding your finger on the Fingerprint sensor only !🔹 The audio quality of the speaker and the earpiece is good. Though, I felt it a bit low when I recorded my voice on star maker app.🔹 Has dedicated slots for 2 Sims and 1 Memory card.🔹 Packed with all the needed sensors.👎🔹I found no option of assigning a SIM to a specific contact.🔹 The back panel is plastic and it's kind of finger print magnet.🔹 The Do Not Disturb function doesn't mute the phone completely though it says so. Instead, I click on the Speaker icon to mute in notification tray.🔹 No Gorilla glass protection for the display.🔹 It's not water resistant.🔹 It doesn't have an Always On Display.🔹 No Slow Motion video recording feature.🔹 Runs on Android 8.1. Don't know when will it get the Pie update.Overall, I feel it is an Amazing phone in this price and I am very satisfied with it's overall performance. It completely justifies it's price. I would strongly recommend this device to everyone looking for a Superb mobile in a moderate budget. Go for it and Thank me later ! 😊
",5.0 out of 5 stars,374 people found this helpful,pos,"I was lucky enough to get this Amazing device in the very first sale on 7th March and that too my desirable variant ! 😊 The delivery was also fast. Thanks to Amazon ! 👍The phone is definitely a True Value For Money as it offers great specs along with great features with an attractive price tag. Let me organise my views about this amazing phone  as follows...LOOKS : 🔎📲👍The mobile is definitely an eye-catcher due to its Premium finish, Slim body, Bezel less screen and the Double shaded back panel (I got a Gradation Blue Variant for me !)The volume and power buttons are placed rightly and are easy to access.CAMERA : 📸 👍It has 16 MP + 3 MP + 3MP Triple camera which captures Amazing shots !With 7 different modes, you can choose the best one according to the scene being clicked. There's a button for Wide Angle which instantly widens the scene to be captured. I have attached the shots of the ceiling with and without Wide Angle Mode. Besides, the stickers and beauty modes work superb to get attractive selfie too.DISPLAY : 📱👍6.4 inch Super AMOLED display is brilliant and a small U shaped notch adds to the attraction of its infinity display... The touch and interface is super smooth too and the brightness level is very efficient. You don't need to set it to full brightness when you are outside even in the afternoon.MULTI TASKING : 📚👍With it's huge 6GB RAM and 128GB Storage, it's very easy to perform as many tasks as you want without any lag. The phone performs flawlessly without any lag or heating. You can activate Pop up window setting and it will make your Multi Tasking lot more easy and interesting too.BATTERY : 🔋🤔Battery sure is a huge one, i.e.5000mAh, but I didn't feel it sufficient enough to last for 24 hours even. Maybe, it's due to network issues or maybe I have to watch it again after some more charge cycles.Though, Fast charging from it's 15 watt charger (type C port) is indeed capable of charging the phone really fast.EXTRAS : 📝Besides all those stated above, I would like to add some more bullet points...👍🔹The Face recognition works great ! There's a lighting animation around the front camera while it tries to identity your face. Looks nice.🔹 Fingerprint sensor is quick and responsive. You can activate a setting after which you can scroll down the notification tray by sliding your finger on the Fingerprint sensor only !🔹 The audio quality of the speaker and the earpiece is good. Though, I felt it a bit low when I recorded my voice on star maker app.🔹 Has dedicated slots for 2 Sims and 1 Memory card.🔹 Packed with all the needed sensors.👎🔹I found no option of assigning a SIM to a specific contact.🔹 The back panel is plastic and it's kind of finger print magnet.🔹 The Do Not Disturb function doesn't mute the phone completely though it says so. Instead, I click on the Speaker icon to mute in notification tray.🔹 No Gorilla glass protection for the display.🔹 It's not water resistant.🔹 It doesn't have an Always On Display.🔹 No Slow Motion video recording feature.🔹 Runs on Android 8.1. Don't know when will it get the Pie update.Overall, I feel it is an Amazing phone in this price and I am very satisfied with it's overall performance. It completely justifies it's price. I would strongly recommend this device to everyone looking for a Superb mobile in a moderate budget. Go for it and Thank me later ! 😊
,pos",q,,
